IP地址,数据中心,地区,城市,网络延迟
198.41.196.246,SJC,North America,San Jose,166 ms
104.16.37.219,SJC,North America,San Jose,167 ms
172.64.87.97,SJC,North America,San Jose,168 ms
104.16.15.197,SJC,North America,San Jose,169 ms
141.101.121.254,SJC,North America,San Jose,169 ms
172.64.48.88,SJC,North America,San Jose,170 ms
172.64.33.69,SJC,North America,San Jose,171 ms
162.159.33.37,SJC,North America,San Jose,171 ms
162.159.9.21,SJC,North America,San Jose,172 ms
23.227.60.171,SJC,North America,San Jose,172 ms
104.16.35.209,SJC,North America,San Jose,172 ms
104.16.7.119,SJC,North America,San Jose,172 ms
172.64.153.94,SJC,North America,San Jose,172 ms
108.162.194.213,SJC,North America,San Jose,172 ms
172.64.89.161,SJC,North America,San Jose,173 ms
173.245.49.185,SJC,North America,San Jose,173 ms
162.159.27.166,SJC,North America,San Jose,173 ms
141.101.123.171,SJC,North America,San Jose,174 ms
104.18.10.194,SJC,North America,San Jose,174 ms
172.64.52.1,SJC,North America,San Jose,174 ms
172.64.90.7,SJC,North America,San Jose,174 ms
198.41.201.174,SJC,North America,San Jose,175 ms
104.16.25.25,SJC,North America,San Jose,175 ms
162.159.16.27,SJC,North America,San Jose,175 ms
172.64.81.180,SJC,North America,San Jose,175 ms
104.16.14.175,SJC,North America,San Jose,176 ms
162.159.15.174,SJC,North America,San Jose,177 ms
66.235.200.201,SJC,North America,San Jose,177 ms
108.162.193.192,SJC,North America,San Jose,178 ms
104.16.9.1,SJC,North America,San Jose,180 ms
104.16.8.45,SJC,North America,San Jose,181 ms
198.41.207.236,SJC,North America,San Jose,181 ms
104.16.6.140,SJC,North America,San Jose,181 ms
104.16.31.193,SJC,North America,San Jose,182 ms
172.64.148.145,SJC,North America,San Jose,182 ms
162.159.3.245,SJC,North America,San Jose,183 ms
1.0.0.59,SJC,North America,San Jose,184 ms
198.41.216.212,SJC,North America,San Jose,184 ms
23.227.39.78,SJC,North America,San Jose,184 ms
103.21.244.191,SJC,North America,San Jose,190 ms
108.162.195.197,SJC,North America,San Jose,192 ms
1.1.1.69,SJC,North America,San Jose,198 ms
104.16.24.235,SJC,North America,San Jose,201 ms
172.64.149.238,SJC,North America,San Jose,202 ms
162.251.82.223,SJC,North America,San Jose,206 ms
198.41.199.79,SJC,North America,San Jose,206 ms
162.159.46.177,SJC,North America,San Jose,210 ms
162.159.2.2,SJC,North America,San Jose,212 ms
162.159.12.27,SJC,North America,San Jose,213 ms
104.16.11.158,SJC,North America,San Jose,215 ms
172.64.79.110,SJC,North America,San Jose,228 ms
162.159.10.66,SJC,North America,San Jose,229 ms
162.159.20.24,SJC,North America,San Jose,230 ms
162.159.22.9,SJC,North America,San Jose,231 ms
172.64.155.245,SJC,North America,San Jose,232 ms
162.159.23.161,SJC,North America,San Jose,233 ms
172.64.38.81,SJC,North America,San Jose,235 ms
162.159.0.134,SJC,North America,San Jose,244 ms
190.93.246.21,SJC,North America,San Jose,244 ms
162.159.24.163,SJC,North America,San Jose,250 ms
104.16.19.20,SJC,North America,San Jose,251 ms
104.16.29.200,SJC,North America,San Jose,255 ms
162.159.59.97,SJC,North America,San Jose,257 ms
141.101.115.152,SJC,North America,San Jose,258 ms
172.64.156.191,SJC,North America,San Jose,262 ms
104.16.1.114,SJC,North America,San Jose,266 ms
172.64.151.188,SJC,North America,San Jose,267 ms
162.159.17.238,SJC,North America,San Jose,270 ms
104.16.26.208,SJC,North America,San Jose,270 ms
172.64.159.171,SJC,North America,San Jose,273 ms
104.16.3.232,SJC,North America,San Jose,274 ms
172.64.147.146,SJC,North America,San Jose,274 ms
172.64.95.59,SJC,North America,San Jose,276 ms
172.64.86.35,SJC,North America,San Jose,280 ms
141.101.114.246,SJC,North America,San Jose,285 ms
172.64.146.178,SJC,North America,San Jose,286 ms
162.159.26.52,SJC,North America,San Jose,287 ms
172.64.82.77,SJC,North America,San Jose,290 ms
172.64.32.171,SJC,North America,San Jose,291 ms
162.159.18.41,SJC,North America,San Jose,293 ms
190.93.247.213,SJC,North America,San Jose,293 ms
104.16.4.71,SJC,North America,San Jose,295 ms
172.64.88.133,SJC,North America,San Jose,296 ms
162.159.32.32,SJC,North America,San Jose,297 ms
198.41.203.154,SJC,North America,San Jose,301 ms
104.16.13.252,SJC,North America,San Jose,302 ms
172.64.80.240,SJC,North America,San Jose,309 ms
172.64.41.205,SJC,North America,San Jose,309 ms
104.16.16.194,SJC,North America,San Jose,311 ms
172.64.53.228,SJC,North America,San Jose,312 ms
172.64.145.240,SJC,North America,San Jose,314 ms
172.64.42.23,SJC,North America,San Jose,319 ms
162.159.62.236,SJC,North America,San Jose,321 ms
198.41.198.145,SJC,North America,San Jose,322 ms
198.41.209.199,SJC,North America,San Jose,325 ms
198.41.195.185,SJC,North America,San Jose,333 ms
104.16.2.149,SJC,North America,San Jose,335 ms
104.16.12.16,SJC,North America,San Jose,336 ms
198.217.251.232,SJC,North America,San Jose,341 ms
172.64.84.240,SJC,North America,San Jose,343 ms
173.245.58.17,SJC,North America,San Jose,344 ms
198.41.223.191,SJC,North America,San Jose,349 ms
198.41.206.125,SJC,North America,San Jose,363 ms
198.41.217.199,SJC,North America,San Jose,373 ms
198.41.192.146,SJC,North America,San Jose,381 ms
