IP地址,数据中心,地区,城市,网络延迟
104.23.128.18,FRA,Europe,Frankfurt,195 ms
104.27.18.175,FRA,Europe,Frankfurt,195 ms
162.159.35.170,FRA,Europe,Frankfurt,196 ms
104.24.26.169,FRA,Europe,Frankfurt,197 ms
104.27.12.19,FRA,Europe,Frankfurt,197 ms
104.23.139.53,FRA,Europe,Frankfurt,198 ms
104.23.141.96,FRA,Europe,Frankfurt,198 ms
104.27.43.46,FRA,Europe,Frankfurt,198 ms
104.27.0.39,FRA,Europe,Frankfurt,198 ms
104.24.10.135,FRA,Europe,Frankfurt,199 ms
104.27.10.137,FRA,Europe,Frankfurt,200 ms
104.23.108.82,FRA,Europe,Frankfurt,200 ms
104.27.32.68,FRA,Europe,Frankfurt,200 ms
104.23.102.179,FRA,Europe,Frankfurt,200 ms
104.23.122.161,FRA,Europe,Frankfurt,201 ms
104.23.96.121,FRA,Europe,Frankfurt,201 ms
104.27.5.238,FRA,Europe,Frankfurt,202 ms
104.27.2.114,FRA,Europe,Frankfurt,203 ms
104.24.23.84,FRA,Europe,Frankfurt,204 ms
104.27.14.148,FRA,Europe,Frankfurt,204 ms
104.23.124.195,FRA,Europe,Frankfurt,204 ms
162.159.160.209,FRA,Europe,Frankfurt,204 ms
141.101.113.193,FRA,Europe,Frankfurt,204 ms
104.27.17.28,FRA,Europe,Frankfurt,204 ms
104.27.41.191,FRA,Europe,Frankfurt,205 ms
104.23.114.144,FRA,Europe,Frankfurt,205 ms
104.23.131.218,FRA,Europe,Frankfurt,206 ms
104.23.105.80,FRA,Europe,Frankfurt,207 ms
172.64.228.133,FRA,Europe,Frankfurt,208 ms
104.24.17.87,FRA,Europe,Frankfurt,208 ms
104.27.1.55,FRA,Europe,Frankfurt,209 ms
104.27.13.64,FRA,Europe,Frankfurt,210 ms
162.159.152.161,FRA,Europe,Frankfurt,210 ms
104.27.31.89,FRA,Europe,Frankfurt,210 ms
162.159.43.141,FRA,Europe,Frankfurt,211 ms
104.23.129.180,FRA,Europe,Frankfurt,213 ms
104.27.37.56,FRA,Europe,Frankfurt,213 ms
104.23.118.152,FRA,Europe,Frankfurt,221 ms
104.23.117.113,FRA,Europe,Frankfurt,222 ms
104.27.4.218,FRA,Europe,Frankfurt,224 ms
104.23.143.220,FRA,Europe,Frankfurt,225 ms
104.23.112.146,FRA,Europe,Frankfurt,225 ms
104.23.119.65,FRA,Europe,Frankfurt,226 ms
104.23.130.238,FRA,Europe,Frankfurt,226 ms
104.27.3.239,FRA,Europe,Frankfurt,227 ms
104.27.21.156,FRA,Europe,Frankfurt,229 ms
162.159.42.33,FRA,Europe,Frankfurt,229 ms
104.23.123.120,FRA,Europe,Frankfurt,229 ms
104.24.4.216,FRA,Europe,Frankfurt,230 ms
104.23.137.81,FRA,Europe,Frankfurt,230 ms
104.23.109.99,FRA,Europe,Frankfurt,230 ms
104.27.19.110,FRA,Europe,Frankfurt,231 ms
104.23.104.192,FRA,Europe,Frankfurt,231 ms
104.23.110.181,FRA,Europe,Frankfurt,231 ms
104.24.11.204,FRA,Europe,Frankfurt,232 ms
104.23.120.91,FRA,Europe,Frankfurt,232 ms
104.27.25.117,FRA,Europe,Frankfurt,232 ms
104.23.138.119,FRA,Europe,Frankfurt,233 ms
162.159.128.41,FRA,Europe,Frankfurt,233 ms
162.159.34.196,FRA,Europe,Frankfurt,234 ms
104.27.15.180,FRA,Europe,Frankfurt,234 ms
104.27.7.250,FRA,Europe,Frankfurt,235 ms
104.27.30.149,FRA,Europe,Frankfurt,235 ms
104.24.9.189,FRA,Europe,Frankfurt,236 ms
104.27.27.65,FRA,Europe,Frankfurt,236 ms
104.23.142.240,FRA,Europe,Frankfurt,236 ms
104.24.15.121,FRA,Europe,Frankfurt,238 ms
104.24.13.213,FRA,Europe,Frankfurt,239 ms
104.24.22.246,FRA,Europe,Frankfurt,239 ms
104.23.136.210,FRA,Europe,Frankfurt,239 ms
104.24.5.163,FRA,Europe,Frankfurt,239 ms
104.23.107.231,FRA,Europe,Frankfurt,240 ms
104.23.97.16,FRA,Europe,Frankfurt,240 ms
198.41.211.188,FRA,Europe,Frankfurt,240 ms
104.23.126.36,FRA,Europe,Frankfurt,240 ms
104.27.11.82,FRA,Europe,Frankfurt,241 ms
104.24.3.203,FRA,Europe,Frankfurt,241 ms
104.27.29.192,FRA,Europe,Frankfurt,241 ms
104.27.24.212,FRA,Europe,Frankfurt,241 ms
104.23.133.150,FRA,Europe,Frankfurt,243 ms
104.23.135.135,FRA,Europe,Frankfurt,248 ms
104.23.113.243,FRA,Europe,Frankfurt,249 ms
104.23.100.10,FRA,Europe,Frankfurt,252 ms
104.23.134.229,FRA,Europe,Frankfurt,254 ms
